"toot_id";"created_at";"account";"toot_mentions_account"
1747036;"2017-04-06T05:58:02.574Z";"10506@mastodon.social";"None"
1747026;"2017-04-06T05:57:38.000Z";"49176@witches.town";"None"
1747025;"2017-04-06T05:57:45.000Z";"49665@mastodon.network";"None"
1747022;"2017-04-06T05:57:35.000Z";"48066@mastodon.xyz";"None"
1747021;"2017-04-06T05:57:46.998Z";"26787@mastodon.social";"None"
1747011;"2017-04-06T05:57:38.772Z";"23537@mastodon.social";"None"
1747010;"2017-04-06T05:57:34.000Z";"55006@mastodon.network";"None"
1747007;"2017-04-06T05:57:32.000Z";"26036@icosahedron.website";"None"
1747000;"2017-04-06T05:57:00.000Z";"18071@loadaverage.org";"None"
1746978;"2017-04-06T05:57:09.461Z";"33605@mastodon.social";"None"
1746976;"2017-04-06T05:57:07.615Z";"13813@mastodon.social";"None"
1746974;"2017-04-06T05:57:06.761Z";"38873@mastodon.social";"None"
1746968;"2017-04-06T05:56:59.000Z";"46684@icosahedron.website";"None"
1746964;"2017-04-06T05:56:57.198Z";"28307@mastodon.social";"None"
1746958;"2017-04-06T05:56:49.000Z";"53458@mastodon.technology";"None"
1746957;"2017-04-06T05:56:45.000Z";"50885@social.tchncs.de";"None"
1746949;"2017-04-06T05:56:34.000Z";"52909@mastodon.hasameli.com";"None"
1746946;"2017-04-06T05:56:22.000Z";"48017@mastodon.xyz";"None"
1747133;"2017-04-06T06:00:00.000Z";"40783@maly.io";"None"
1747126;"2017-04-06T05:59:52.000Z";"49837@cybre.space";"None"
1747121;"2017-04-06T05:59:42.000Z";"49176@witches.town";"None"
1747119;"2017-04-06T05:59:46.000Z";"38328@hostux.social";"None"
1747116;"2017-04-06T05:59:41.000Z";"49702@social.targaryen.house";"None"
1747115;"2017-04-06T05:59:41.861Z";"32916@mastodon.social";"None"
1747110;"2017-04-06T05:59:34.372Z";"19532@mastodon.social";"None"
1747107;"2017-04-06T05:59:30.000Z";"48718@social.targaryen.house";"None"
1747100;"2017-04-06T05:59:24.010Z";"46000@mastodon.social";"None"
1747094;"2017-04-06T05:59:18.000Z";"49605@awoo.space";"None"
1747093;"2017-04-06T05:59:18.240Z";"27554@mastodon.social";"None"
1747089;"2017-04-06T05:59:15.848Z";"19338@mastodon.social";"None"
1747085;"2017-04-06T05:59:10.000Z";"50418@social.lou.lt";"None"
1747082;"2017-04-06T05:59:09.000Z";"50596@social.tchncs.de";"None"
1747076;"2017-04-06T05:59:00.289Z";"38065@mastodon.social";"None"
1747074;"2017-04-06T05:58:56.000Z";"24759@icosahedron.website";"None"
1747068;"2017-04-06T05:58:49.000Z";"48302@mastodon.xyz";"None"
1747047;"2017-04-06T05:58:19.000Z";"316@social.oalm.gub.uy";"None"
1747041;"2017-04-06T05:58:13.638Z";"26874@mastodon.social";"None"
1747242;"2017-04-06T06:01:45.202Z";"15690@mastodon.social";"None"
1747240;"2017-04-06T06:01:42.254Z";"19338@mastodon.social";"None"
1747235;"2017-04-06T06:01:34.000Z";"48317@social.wxcafe.net";"None"
1747229;"2017-04-06T06:01:28.256Z";"12977@mastodon.social";"None"
1747228;"2017-04-06T06:00:38.000Z";"55100@cybre.space";"None"
1747218;"2017-04-06T06:01:11.000Z";"316@social.oalm.gub.uy";"None"
1747212;"2017-04-06T06:01:08.000Z";"53026@aleph.land";"None"
1747204;"2017-04-06T06:01:03.738Z";"16369@mastodon.social";"None"
